name,rate,votes,location,online_order,book_table,general_sentiment,food_sentiment,service_sentiment,place_sentiment,date_column
Choconut,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Fumzas Dine,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Sri Mandarathi,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Biryani Centre,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Hotel Sinchara,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
ABCD - Anybody Can Dine,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Oven Fresh,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Cake Dilim,3.2/5,6,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
The Veggies,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Cafe Light House,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
RICE BAR,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Chillout,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
The French Loaf,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Goodness! Beverages,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Pandit Ji Sweets & Namkeen,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Gugu Fast Foods & Snacks,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
The Tasty Food,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
MGR Foods,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
AJ Ambur Star Biriyani,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
BJM Restaurant & Cafe,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Zinger Cafe,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Venkataramana Nellore Mess,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
The Cakesplorer,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Sruthi Mess,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Dilli Tadka,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
B Penguin Restaurant & Cafe,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Vigneshwara Mess,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Ambur Chicken Biryani,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Star Cafe Hotel,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Samruddhi Restaurant,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Hotel Malabar,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Anil Andhra Curry Point,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Eatery,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
DIET Cravers,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Shivshankar Hotel,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
New Kshatriya Dum Biryani,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
The Juice Shop,NEW,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Reyniks Flavours,NEW,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Sweet Revenge Bake N Cafe,NEW,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Cakea,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
VMS Star Biriyani,3.1/5,5,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
MBR Dum Biryani County,3.5/5,24,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Desi Breakk,3.6/5,29,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Bengaluru Restaurant,3.1/5,22,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
S R Andhra Mess,3.3/5,16,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Akshay Biryani Paradise,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Shiv Shankar Hotel,3.5/5,10,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Gourmet,3.5/5,12,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
New Hyderabadi Biryani House,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Vibgyor Kitchen,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
NightOwl,2.7/5,31,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Big Apple Restaurant,3.2/5,4,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Hotel The Nalanda,3.2/5,4,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
The Right Moo Organic Icecreams,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Pepper Pillar,3.4/5,11,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Cool Treat Cafe & Cakes,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Hotel A-1,3.3/5,5,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Naidu Hotel,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Andhra Mess,3.4/5,8,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Vasu Biriyani Paradise,3.1/5,6,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Dilli 6,3.2/5,26,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Yum Kitchen,2.8/5,29,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
MK Dabbawala,3.2/5,17,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
The Magic Chef,3.7/5,28,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Satkar,3.6/5,22,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Sandesh Sweets & Chats,2.9/5,126,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
 they serve chats, uttapam..\n\nCost is little bit on the higher side, but quality is overall good.\n\nMust visit.. :-)'), 'RATED\n  Fair place to have snacks however be warned that, South dishes such as dosa, idli,Positive,Neutral,Neutral,Neutral,
NH7 Resto Pub,3.3/5,6,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
EatPrayLove,Not Rated,0,South Bangalore,No,No,Negative,Neutral,Neutral,Neutral,
Hamara Kozhikode,3.3/5,5,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Food Point,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
New Andhra Spice,3.3/5,4,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
New Green Leaf Restaurant,3.6/5,42,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Bhukkad,3.3/5,7,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Eatsy,3.5/5,12,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Xpress Kitchen,3.3/5,8,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Chikeys,3.0/5,19,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Bhavya's Kitchen,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Momm's The Kitchen,3.4/5,7,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
The Three Dragons,3.3/5,5,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Zaffron Express,3.5/5,8,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Hungry Kya?,3.3/5,8,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Hunter's Lounge,3.1/5,9,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Polo Scoops,3.2/5,4,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Green Tree Garden Restaurant,3.4/5,6,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Till The Last Bite,3.4/5,7,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Sattvic,3.5/5,11,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Old Stories,3.7/5,29,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Ham Khim Chinese Fast Food,3.1/5,7,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Mast Kalandar,2.4/5,142,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
The Breakfast Club,3.9/5,90,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
" """"RATED\n  Tried online Breakfast"," suggestions try Hangover combo and other continentals\nIndian and south Indian equally good"""")", ('Rated 1.0', when contacted, it's truly value for money, quality of food and package is worth appreciate,Negative,Neutral,Neutral,Neutral,
HOT BOX,3.6/5,28,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
4Foodiez - The Restaurant,3.0/5,23,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Sapfresh,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Biriyani Paradise,3.5/5,18,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Marwa Family Restaurant,3.0/5,8,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Hotel Sri Chiraag Sagar,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Tasty Funda,3.3/5,4,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Pugals Biriyani,3.6/5,25,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Enroute,3.6/5,31,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Shree Sai Foods,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
ANR Dum Biryani Centre,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Nitara Muticuisine Kitchen,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Edigo,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Sai Upahar,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Lancy Sweets,3.7/5,16,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
SV Crispy Chicken,3.5/5,12,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Grand Taj,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Choconut Cafe,3.4/5,6,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Payal Fast Food & Tiffen Centre,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Fine Dine Restaurant,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Public Cafe,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Nivaan's Kitchen,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Lekha's Delicacies,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Rara Avis,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Clean Eats,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Shaadi Ki Biryani,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Arzak,NEW,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Desi Tadka,3.0/5,16,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Hotel Amrit,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
FAB Cafe,3.1/5,7,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Spicy Tadka,3.5/5,47,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Hot & Cool,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Foodiction,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Affa Cafeteria,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Adya Hotel,3.3/5,4,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
The US Burger,3.0/5,13,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Pehla Niwala,2.8/5,41,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
The Lemon Grass Kitchen,3.3/5,5,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Ayesha Hotel,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Bite Sip Repeat,3.4/5,6,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
White Chillies,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Mazali,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Andhra Ruchulu,3.3/5,5,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Taste Of Rajasthan,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Chef Delicacies,NEW,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Kulhad Junction,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Flavors Restaurant,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Star Briyani,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Nawabi Kitchen,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Namma Atithi,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
nu.tree,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Sandwich Jn,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Flavour A Azam,3.5/5,42,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Bawarchi Restaurant,3.1/5,4,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Bhokali Paratha,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Curries And Pickles,3.6/5,17,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Bhaiya Ji Food Court,3.5/5,8,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Chung Wah,2.9/5,95,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Madiha Biryani House,3.4/5,13,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
JFD Cafe,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Xpress Chai,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Eat Repeat Express,3.1/5,4,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Mustard Food Court,3.8/5,57,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Cafe Black Pepper,NEW,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Chokha Zaika,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Vijayawadavari Sandya Andhra Mess,3.6/5,18,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
E - City Combos,3.5/5,6,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Nesara Upahar,Not Rated,0,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Hide Out - The Golden Tulip,3.2/5,9,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Funky Food,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Vyanjan,3.3/5,12,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Vandana Restaurant,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Mr. Paratha & Ms. Curry,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Tempting Aroma,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
TeamDelish,3.4/5,9,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Mitran Da Adda,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Amba Food,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Krish Kitchen,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Oriental Fusion,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Rags on Fire,3.1/5,64,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Patravali Biriyani,Not Rated,0,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Brunch & Munch - Hotel Millennium Plaza,3.5/5,23,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Shoiab Family Restaurant,3.6/5,14,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Pandit Ji Sweets & Namkeen,3.6/5,13,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Ramdev Bhojnalaya,3.0/5,29,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Gifts N Surprise,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Bangalore Cakes,2.9/5,17,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Village Palace,3.0/5,46,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Super Hyderabadi Dum Biriyani & Combos,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Hotel Masti,2.8/5,25,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Milkshake Kulture,3.5/5,10,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Baskiin's Rabbin,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Sethi's,Not Rated,0,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Krutunga Restaurant,3.4/5,20,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
The Kitchen,3.7/5,28,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Choco Nut Cafe,3.2/5,19,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Adyar Anand Bhavan Sweets,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Magic Packs,3.1/5,22,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Aamaravathi Biryani Zone,Not Rated,0,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Kairali Restaurant,3.4/5,19,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Cake Spot,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Grilliez,NEW,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Kanti Sweets,3.6/5,16,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Ministry of Burger,Not Rated,0,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Jiyo Natural,3.6/5,14,South Bangalore,No,No,Positive,Positive,Neutral,Positive,
Priya's Punjabi,3.8/5,33,Koramangala 8th Block,No,No,Positive,Neutral,Neutral,Neutral,
Kadhai Tadka family Restaurant,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Food Lover,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Chatkara,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Baker's Cafe,Not Rated,0,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
The Hyderbadi Chefs,3.4/5,4,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Bhojan@99,NEW,0,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Swaadh,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Bake Magic,Not Rated,0,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Adarsh Bakery,3.1/5,10,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
The Fiery Indian Kitchen,Not Rated,0,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Machlee's Sea Food,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Cafe HIGHRANGERS,3.3/5,4,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
The Duke of Juices,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Cafe Xtasi,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Basmati's Briyani Nation,NEW,0,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Soul Indian Specialty - Svenska Design Hotel,3.7/5,266,Electronic City,Yes,Yes,Positive,Neutral,Neutral,Neutral,
Onesta,4.5/5,863,Electronic City,Yes,Yes,Positive,Neutral,Neutral,Neutral,
Cakes Wagon,3.3/5,37,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
MAD Belgian Waffles,3.8/5,12,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Apsara Ice Cream,4.0/5,67,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
The Platonic Cafe,NEW,0,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Laddoos,2.8/5,124,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
NY Pizza & Waffles,3.1/5,273,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Thanco's Natural Ice Creams,3.7/5,54,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Baskin Robbins,3.8/5,108,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Frozen Bottle,4.1/5,209,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Sweet Chariot,3.0/5,60,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
French Bake House,3.7/5,91,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Cafe Crumb'z,3.3/5,4,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Mr. Meetharam,3.3/5,7,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Chef Baker's,3.8/5,101,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Silver Leaf - Ramee Guestline Hotels,3.5/5,17,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Just Bake,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Pulla Reddy Sweets,3.0/5,22,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Just Cakes,3.4/5,22,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
eat.fit,NEW,0,Electronic City,Yes,No,Negative,Positive,Neutral,Neutral,
Entree cafe,3.7/5,56,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
CakeZone,3.2/5,9,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Chivi's Meilleurs Boulangers,3.4/5,12,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Foodie Nation,3.5/5,89,Electronic City,Yes,Yes,Positive,Neutral,Neutral,Neutral,
Pandit Ji Sweets & Namkeen,3.6/5,13,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Cake Menu,3.3/5,23,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Jodhpur Sweets,3.8/5,29,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Sriji's Mithai,3.4/5,5,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Bangalore Cakes,2.9/5,17,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Donut Cafe,3.9/5,163,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Magic Oven,4.0/5,135,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
" """"RATED\n  We flock the place every morning and evening for their cavendish atmosphere", ('Rated 4.5'," """"RATED\n  I stay very close to this place", rolls, their architecture that mirrors a European outdoor cafe and food that just wouldn't stop pleasing your stomach.\n\nRecommended:\nChicken Penne White Pasta\nSunny Side Up Burger\nChicken 65 Roll\nTCL Cheese\nChicken Mayo Sandwich\n\nOn the whole," hunger and Magic Oven have proven to be steamy bedfellows for us."""")",Positive,Neutral,Neutral,Neutral,
The French Loaf,2.6/5,64,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
The Hungry Shark Cafe,3.9/5,117,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Just Like Mum's,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Mumbai Kulfi,3.7/5,61,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
The Pastry House,3.8/5,60,Electronic City,Yes,No,Negative,Neutral,Neutral,Neutral,
Sweet Revenge,3.3/5,9,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Maruthi Sweet Corner,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Sri Mahadev Sweets,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Cake Point,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Indulge,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
24 Hours Cake Delivery,Not Rated,0,Electronic City,No,No,Negative,Neutral,Neutral,Neutral,
Bak'd Goodies,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Arya Bhavan Sweets,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Baker's Cafe,Not Rated,0,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Adarsh Bakery,3.1/5,10,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Flying Cakes,3.1/5,127,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Royal Iceberry,3.4/5,5,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Dessert Bar,Not Rated,0,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Cafe HIGHRANGERS,3.3/5,4,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Bangalore Agarwal Bhavan,3.6/5,20,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Choconut,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Me And My Cake,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Cake Dilim,3.2/5,6,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Gifts N Surprise,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Goodness! Beverages,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
The Cake Lair,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Cakea,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Cake Spot,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Bake Magic,Not Rated,0,Electronic City,Yes,No,Positive,Neutral,Neutral,Neutral,
Kulfi House,3.7/5,13,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
The Right Moo Organic Icecreams,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Cool Treat Cafe & Cakes,Not Rated,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Cool Break,3.4/5,11,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Hotel Ivy Dew Drops,3.2/5,4,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Happy Cups,NEW,0,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Polo Scoops,3.2/5,4,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
Lancy Sweets,3.7/5,16,Electronic City,No,No,Positive,Neutral,Neutral,Neutral,
